carrier,num_flights,arrdelay_mean,carrier_delay_mean,weather_delay_mean,nas_delay_mean,security_delay_mean,late_aircraft_delay_mean
OH,54287,18.4,7.57,1.97,3.51,0.03,12.62
F9,46281,10.03,5.74,0.44,3.84,0.0,9.87
G4,29736,9.15,5.63,2.32,4.37,0.05,7.39
OO,179870,8.4,8.56,2.61,2.55,0.01,3.79
B6,53179,7.92,4.88,0.47,4.49,0.03,7.79
AA,211656,7.23,5.8,0.94,2.81,0.02,6.69
HA,18320,5.73,4.42,0.68,0.06,0.03,3.5
MQ,59922,4.33,3.17,1.5,2.88,0.02,4.8
DL,218126,3.66,5.89,1.01,2.7,0.01,3.96
NK,49351,1.62,3.05,0.19,5.94,0.04,2.92
